customer_id,customer_name,email,country,signup_date,customer_segment,lifetime_value
6253,Roger Johnson,amberhoward@example.net,South Korea,2020-12-28,Premium,13115.48
4685,Lisa Wagner,dawn76@example.com,Spain,2022-07-15,Standard,19599.64
1732,Judith Miller,pmerritt@example.net,Mexico,2025-05-05,Basic,18453.8
4743,Elizabeth Barton,sergio07@example.org,Italy,2021-08-09,Premium,46000.94
4522,Corey King,eroy@example.org,France,2022-12-18,Basic,47466.17
6341,Brooke Allison,tonyaturner@example.com,Argentina,2023-04-02,Basic,36729.14
577,Krista Benton,timothy60@example.net,Argentina,2021-09-22,Basic,42189.81
5203,Lee Perez,devonwhite@example.org,Argentina,2022-10-30,Premium,46999.63
6364,Darren Reyes,eugenewiggins@example.net,Netherlands,2024-06-30,Premium,16500.69
440,David Molina,jessica96@example.org,Italy,2023-10-01,Premium,6828.5
2751,Patrick Adkins,mooretrevor@example.net,Sweden,2020-04-08,Basic,45822.83
7488,Jerry Johnston,becktroy@example.com,Japan,2022-11-24,Standard,46159.51
5273,Leslie Martin,robert14@example.org,Italy,2025-09-26,Basic,45976.57
5654,Cody Woods,margaretbullock@example.net,Switzerland,2020-12-15,Standard,31699.94
4000,Brandon Bean,brianjones@example.net,Germany,2023-08-09,Standard,37977.24
6034,Nicholas Little,jasonjohnson@example.net,Sweden,2021-08-26,Premium,1358.98
583,Karen Morales DDS,joy22@example.org,South Korea,2020-02-16,Basic,10991.73
9931,Jay Weber,kcurry@example.net,India,2025-08-17,Standard,47151.44
7052,Sharon Barajas,tstephens@example.org,South Korea,2020-11-20,Basic,1174.63
8159,Erin Myers,johnsonmitchell@example.com,Italy,2026-02-28,Basic,13103.21
9897,Andres Hodges,nperez@example.org,Mexico,2022-09-12,Basic,7697.18
2250,Grant Wood,john86@example.com,Canada,2023-07-31,Standard,30879.89
4641,Lori Brown,melissaholt@example.com,South Korea,2024-04-13,Standard,15505.37
9486,Deanna Hodges,smithbrian@example.com,Switzerland,2020-03-08,Standard,20442.06
4948,Mark Webb,cindy85@example.org,Australia,2024-07-16,Basic,11535.05
9921,Sean Spencer,ahernandez@example.net,Australia,2020-07-28,Standard,29525.79
1964,Scott Greene,boonelee@example.net,France,2022-11-23,Premium,26849.12
8244,Ann Moore,matthew07@example.com,France,2020-12-20,Basic,893.26
6591,Jason Khan,rebecca43@example.org,Australia,2024-07-29,Premium,35301.29
8848,Tracy Foster,cory82@example.com,Brazil,2026-04-27,Premium,44021.79
